৭৫ জিবি + ১৫০০ মিনিট | ৩০ দিন | ৮৯১ টাকা
Unlimited জিবি + ১০০০ মিনিট | ৩০ দিন | ৮৪৬ টাকা
৪৫ জিবি + ৮০০ মিনিট | ৩০ দিন | ৭৯২ টাকা
৬০ জিবি + ৬০০ মিনিট | ৩০ দিন | ৬২৩ টাকা
৫০ জিবি + ৫০০ মিনিট | ৩০ দিন | ৫৪৪ টাকা
৪০ জিবি + ৪০০ মিনিট | ৩০ দিন | ৪৮০ টাকা
২৫/৩০ জিবি + ২৫০/৩০০ মিনিট | ৩০ দিন | ৩৯০ টাকা
৫০ জিবি + ৫০০ মিনিট | ৩০ দিন | ৫২০ টাকা
৫০ জিবি + ২০০ মিনিট | ৩০ দিন | ৪৯০ টাকা
৪০ জিবি + ৫০০ মিনিট | ৩০ দিন | ৫০০ টাকা
৪০ জিবি + ৪০০ মিনিট | ৩০ দিন | ৪৯০ টাকা
৪০ জিবি + ২০০ মিনিট | ৩০ দিন | ৪৫০ টাকা
৩০ জিবি + ৫০০ মিনিট | ৩০ দিন | ৪৬০ টাকা
৩০ জিবি + ৪০০ মিনিট | ৩০ দিন | ৪৪০ টাকা
৩০ জিবি + ৩০০ মিনিট | ৩০ দিন | ৪১০ টাকা
৩০ জিবি + ২০০ মিনিট | ৩০ দিন | ৩৯৫ টাকা
২৫ জিবি + ৫০০ মিনিট | ৩০ দিন | ৪৫০ টাকা
২৫ জিবি + ৩০০ মিনিট | ৩০ দিন | ৪০০ টাকা
২৫ জিবি + ২০০ মিনিট | ৩০ দিন | ৩৯০ টাকা
২০ জিবি + ৫০০ মিনিট | ৩০ দিন | ৩৯০ টাকা
২০ জিবি + ৪০০ মিনিট | ৩০ দিন | ৩৮০ টাকা
২০ জিবি + ৩০০ মিনিট | ৩০ দিন | ৩৭০ টাকা
২০ জিবি + ২০০ মিনিট | ৩০ দিন | ৩৫৫ টাকা
১৫ জিবি + ৫০০ মিনিট | ৩০ দিন | ৩৮০ টাকা
১৫ জিবি + ৪০০ মিনিট | ৩০ দিন | ৩৬৫ টাকা
১৫ জিবি + ৩০০ মিনিট | ৩০ দিন | ৩৫০ টাকা
১০ জিবি + ৫০০ মিনিট | ৩০ দিন | ৩৬০ টাকা
১০ জিবি + ৪০০ মিনিট | ৩০ দিন | ৩৪৫ টাকা
১০ জিবি + ৩০০ মিনিট | ৩০ দিন | ৩৩০ টাকা
১০ জিবি + ২০০ মিনিট | ৩০ দিন | ২৮০ টাকা
১০০ জিবি + ১০০০ মিনিট | ৩০ দিন | ৭৪০ টাকা
২০ জিবি + ১০০০ মিনিট | ৩০ দিন | ৭০৯ টাকা
১৫ জিবি + ১০০০ মিনিট | ৩০ দিন | ৬৯২ টাকা
১০ জিবি + ১০০০ মিনিট | ৩০ দিন | ৬৮৩ টাকা
৫৫ জিবি + ৮০০ মিনিট | ৩০ দিন | ৭৩১ টাকা
৫০ জিবি + ৮০০ মিনিট | ৩০ দিন | ৭০৯ টাকা
৪৫ জিবি + ৮০০ মিনিট | ৩০ দিন | ৬৮৭ টাকা
৪০ জিবি + ৮০০ মিনিট | ৩০ দিন | ৫৯৩ টাকা
১০ জিবি + ৮০০ মিনিট | ৩০ দিন | ৫৮৪ টাকা
৬০ জিবি + ৭০০ মিনিট | ৩০ দিন | ৭৩১ টাকা
৫৫ জিবি + ৭০০ মিনিট | ৩০ দিন | ৭০৪ টাকা
৫০ জিবি + ৭০০ মিনিট | ৩০ দিন | ৬৯২ টাকা
৪৫ জিবি + ৭০০ মিনিট | ৩০ দিন | ৬৬৯ টাকা
২০ জিবি + ৭০০ মিনিট | ৩০ দিন | ৫৫৭ টাকা
১৫ জিবি + ৭০০ মিনিট | ৩০ দিন | ৫৫০ টাকা
১০ জিবি + ৭০০ মিনিট | ৩০ দিন | ৪৯৮ টাকা
৮০ জিবি + ৫০০ মিনিট | ৩০ দিন | ৬৪২ টাকা
৪৫ জিবি + ৫০০ মিনিট | ৩০ দিন | ৬২৯ টাকা
৪০ জিবি + ৫০০ মিনিট | ৩০ দিন | ৬২৫ টাকা
৩৫ জিবি + ৫০০ মিনিট | ৩০ দিন | ৬০২ টাকা
৩০ জিবি + ৫০০ মিনিট | ৩০ দিন | ৫৭৫ টাকা
২৫ জিবি + ৫০০ মিনিট | ৩০ দিন | ৫৫৭ টাকা
২০ জিবি + ৫০০ মিনিট | ৩০ দিন | ৪৮৫ টাকা
১০ জিবি + ৫০০ মিনিট | ৩০ দিন | ৪৩৩ টাকা
৫৫ জিবি + ৩০০ মিনিট | ৩০ দিন | ৬২৯ টাকা
৫০ জিবি + ৩০০ মিনিট | ৩০ দিন | ৬২৯ টাকা
৪৫ জিবি + ৩০০ মিনিট | ৩০ দিন | ৬০৬ টাকা
৪০ জিবি + ৩০০ মিনিট | ৩০ দিন | ৫৮৯ টাকা
৩৫ জিবি + ৩০০ মিনিট | ৩০ দিন | ৫৬৬ টাকা
