Unlimited জিবি + ১৯০০ মিনিট | ৩০ দিন | ১০৬২ টাকা
৫০/৬০ জিবি + ১৫০০ মিনিট | ৩০ দিন | ৮৯১ টাকা
৬০ জিবি + ৮০০/৭০০ মিনিট | ৩০ দিন | ৭১২ টাকা
৫০ জিবি + ৫০০ মিনিট | ৩০ দিন | ৬৫৩ টাকা
১৫/৫০ জিবি + ৩৫০/৫০০ মিনিট | ৩০ দিন | ৫৭৪ টাকা
৫০ জিবি + ৫০০ মিনিট | ৩০ দিন | ৫২০ টাকা
৫০ জিবি + ২০০ মিনিট | ৩০ দিন | ৪৯০ টাকা
৪০ জিবি + ৫০০ মিনিট | ৩০ দিন | ৫০০ টাকা
৪০ জিবি + ৪০০ মিনিট | ৩০ দিন | ৪৯০ টাকা
৪০ জিবি + ২০০ মিনিট | ৩০ দিন | ৪৫০ টাকা
৩০ জিবি + ৫০০ মিনিট | ৩০ দিন | ৪৬০ টাকা
৩০ জিবি + ৪০০ মিনিট | ৩০ দিন | ৪৪০ টাকা
৩০ জিবি + ৩০০ মিনিট | ৩০ দিন | ৪১০ টাকা
৩০ জিবি + ২০০ মিনিট | ৩০ দিন | ৩৯৫ টাকা
২৫ জিবি + ৫০০ মিনিট | ৩০ দিন | ৪৫০ টাকা
২৫ জিবি + ৪০০ মিনিট | ৩০ দিন | ৪৩০ টাকা
২৫ জিবি + ৩০০ মিনিট | ৩০ দিন | ৪০০ টাকা
২৫ জিবি + ২০০ মিনিট | ৩০ দিন | ৩৯০ টাকা
২০ জিবি + ৫০০ মিনিট | ৩০ দিন | ৩৯০ টাকা
২০ জিবি + ৪০০ মিনিট | ৩০ দিন | ৩৮০ টাকা
২০ জিবি + ৩০০ মিনিট | ৩০ দিন | ৩৭০ টাকা
২০ জিবি + ২০০ মিনিট | ৩০ দিন | ৩৫৫ টাকা
১৫ জিবি + ৫০০ মিনিট | ৩০ দিন | ৩৮০ টাকা
১৫ জিবি + ৪০০ মিনিট | ৩০ দিন | ৩৬৫ টাকা
১৫ জিবি + ৩০০ মিনিট | ৩০ দিন | ৩৫০ টাকা
১০ জিবি + ৫০০ মিনিট | ৩০ দিন | ৩৬০ টাকা
১০ জিবি + ৪০০ মিনিট | ৩০ দিন | ৩৪৫ টাকা
১০ জিবি + ৩০০ মিনিট | ৩০ দিন | ৩৩০ টাকা
১০ জিবি + ২০০ মিনিট | ৩০ দিন | ২৮০ টাকা
১০০ জিবি + ১০০০ মিনিট | ৩০ দিন | ৮৮৮ টাকা
১০০ জিবি + ৭৫০ মিনিট | ৩০ দিন | ৮৪৭ টাকা
১০০ জিবি + ৬০০ মিনিট | ৩০ দিন | ৮২৫ টাকা
১০০ জিবি + ৫০০ মিনিট | ৩০ দিন | ৮০৭ টাকা
১০০ জিবি + ৪০০ মিনিট | ৩০ দিন | ৮০২ টাকা
১০০ জিবি + ৩৫০ মিনিট | ৩০ দিন | ৭৯৩ টাকা
১০০ জিবি + ৩০০ মিনিট | ৩০ দিন | ৭৯০ টাকা
১০০ জিবি + ২৫০ মিনিট | ৩০ দিন | ৭৮৫ টাকা
১০০ জিবি + ২০০ মিনিট | ৩০ দিন | ৭৭৬ টাকা
১০০ জিবি + ১৫০ মিনিট | ৩০ দিন | ৭৬৭ টাকা
১০০ জিবি + ১০০ মিনিট | ৩০ দিন | ৭৫৪ টাকা
৭৫ জিবি + ১০০০ মিনিট | ৩০ দিন | ৮৩৪ টাকা
৭৫ জিবি + ৭৫০ মিনিট | ৩০ দিন | ৭৯৩ টাকা
৭৫ জিবি + ৬০০ মিনিট | ৩০ দিন | ৭৭২ টাকা
৭৫ জিবি + ৫০০ মিনিট | ৩০ দিন | ৭৫৪ টাকা
৭৫ জিবি + ৪০০ মিনিট | ৩০ দিন | ৭৪৯ টাকা
৭৫ জিবি + ৩৫০ মিনিট | ৩০ দিন | ৭৪০ টাকা
৭৫ জিবি + ৩০০ মিনিট | ৩০ দিন | ৭৩৬ টাকা
৭৫ জিবি + ২৫০ মিনিট | ৩০ দিন | ৭৩১ টাকা
৭৫ জিবি + ২০০ মিনিট | ৩০ দিন | ৭২২ টাকা
৭৫ জিবি + ১৫০ মিনিট | ৩০ দিন | ৭১৩ টাকা
৭৫ জিবি + ১০০ মিনিট | ৩০ দিন | ৭৩৯ টাকা
৫০ জিবি + ১০০০ মিনিট | ৩০ দিন | ৭৪৫ টাকা
৫০ জিবি + ৭৫০ মিনিট | ৩০ দিন | ৭৩৪ টাকা
৫০ জিবি + ৬০০ মিনিট | ৩০ দিন | ৭১১ টাকা
৫০ জিবি + ৫০০ মিনিট | ৩০ দিন | ৬৯৩ টাকা
৫০ জিবি + ৪০০ মিনিট | ৩০ দিন | ৬৮৩ টাকা
৫০ জিবি + ৩৫০ মিনিট | ৩০ দিন | ৬৭৮ টাকা
৫০ জিবি + ৩০০ মিনিট | ৩০ দিন | ৬৭৪ টাকা
৫০ জিবি + ২৫০ মিনিট | ৩০ দিন | ৬৬৪ টাকা
৫০ জিবি + ২০০ মিনিট | ৩০ দিন | ৬৫৯ টাকা
৫০ জিবি + ১৫০ মিনিট | ৩০ দিন | ৬৫২ টাকা
৫০ জিবি + ১০০ মিনিট | ৩০ দিন | ৬৩৮ টাকা
৪০ জিবি + ১০০০ মিনিট | ৩০ দিন | ৭৪৫ টাকা
৪০ জিবি + ৭৫০ মিনিট | ৩০ দিন | ৭২৫ টাকা
৪০ জিবি + ৬০০ মিনিট | ৩০ দিন | ৭০১ টাকা
৪০ জিবি + ৫০০ মিনিট | ৩০ দিন | ৬৮৩ টাকা
৪০ জিবি + ৪০০ মিনিট | ৩০ দিন | ৬৭৪ টাকা
৪০ জিবি + ৩৫০ মিনিট | ৩০ দিন | ৬৬৪ টাকা
৪০ জিবি + ৩০০ মিনিট | ৩০ দিন | ৬৫৯ টাকা
৪০ জিবি + ২৫০ মিনিট | ৩০ দিন | ৬৬২ টাকা
৪০ জিবি + ২০০ মিনিট | ৩০ দিন | ৬৫২ টাকা
৪০ জিবি + ১৫০ মিনিট | ৩০ দিন | ৬৩৮ টাকা
৪০ জিবি + ১০০ মিনিট | ৩০ দিন | ৬২৩ টাকা
৩০ জিবি + ১০০০ মিনিট | ৩০ দিন | ৭৪৯ টাকা
৩০ জিবি + ৭৫০ মিনিট | ৩০ দিন | ৭১১ টাকা
৩০ জিবি + ৬০০ মিনিট | ৩০ দিন | ৬৮৮ টাকা
৩০ জিবি + ৫০০ মিনিট | ৩০ দিন | ৬৬৯ টাকা
৩০ জিবি + ৪০০ মিনিট | ৩০ দিন | ৬৫৯ টাকা
৩০ জিবি + ৩৫০ মিনিট | ৩০ দিন | ৬৫৭ টাকা
৩০ জিবি + ৩০০ মিনিট | ৩০ দিন | ৬৫২ টাকা
৩০ জিবি + ২৫০ মিনিট | ৩০ দিন | ৬৪২ টাকা
৩০ জিবি + ২০০ মিনিট | ৩০ দিন | ৬৩৩ টাকা
৩০ জিবি + ১৫০ মিনিট | ৩০ দিন | ৬২৩ টাকা
৩০ জিবি + ১০০ মিনিট | ৩০ দিন | ৬০৯ টাকা
২৫ জিবি + ১০০০ মিনিট | ৩০ দিন | ৭৪০ টাকা
২৫ জিবি + ৭৫০ মিনিট | ৩০ দিন | ৬৭৮ টাকা
২৫ জিবি + ৬০০ মিনিট | ৩০ দিন | ৬৬২ টাকা
২৫ জিবি + ৫০০ মিনিট | ৩০ দিন | ৬৩৮ টাকা
২৫ জিবি + ৪০০ মিনিট | ৩০ দিন | ৬২৮ টাকা
২৫ জিবি + ৩৫০ মিনিট | ৩০ দিন | ৬২৩ টাকা
২৫ জিবি + ৩০০ মিনিট | ৩০ দিন | ৬১৯ টাকা
২৫ জিবি + ২৫০ মিনিট | ৩০ দিন | ৬০৯ টাকা
